Date&Time,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,INJURED,KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,FACTOR_VEHICLE1,FACTOR_VEHICLE2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
4/7/15 19:25,BROOKLYN,11206,40.7077496,-73.9322954,"(40.7077496, -73.9322954)",MORGAN AVENUE,JOHNSON AVENUE,,5,0,0,0,0,0,5,0,Outside Car Distraction,,,,,3199552,SPORT UTILITY / STATION WAGON,,,,
4/7/15 16:30,QUEENS,11418,40.7025706,-73.8330219,"(40.7025706, -73.8330219)",85 AVENUE,118 STREET,,5,0,0,0,0,0,5,0,View Obstructed/Limited,Failure to Yield Right-of-Way,,,,3199069,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
4/7/15 13:11,QUEENS,11379,40.7124417,-73.894019,"(40.7124417, -73.894019)",65 LANE,METROPOLITAN AVENUE,,3,0,0,0,0,0,3,0,Aggressive Driving/Road Rage,Turning Improperly,,,,3199087,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
4/7/15 16:55,,,,,,,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3199426,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
4/7/15 15:15,,,40.7258121,-73.769551,"(40.7258121, -73.769551)",,,,3,0,0,0,0,0,3,0,Fatigued/Drowsy,Turning Improperly,,,,3199621,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
4/7/15 14:00,QUEENS,11419,40.687951,-73.8250104,"(40.687951, -73.8250104)",LEFFERTS BOULEVARD,103 AVENUE,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3199103,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
4/7/15 22:05,STATEN ISLAND,10304,40.6076902,-74.0894424,"(40.6076902, -74.0894424)",CLOVE ROAD,TARGEE STREET,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Driver Inattention/Distraction,,,,3199705,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
4/7/15 12:55,,,40.7466024,-73.7650163,"(40.7466024, -73.7650163)",,,,2,0,0,0,0,0,2,0,Fatigued/Drowsy,Fatigued/Drowsy,Unspecified,,,3200109,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
4/7/15 23:05,MANHATTAN,10018,40.7522807,-73.9896919,"(40.7522807, -73.9896919)",WEST 36 STREET,7 AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Lost Consciousness,,,,3199285,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
4/7/15 17:00,STATEN ISLAND,10306,40.5796897,-74.100392,"(40.5796897, -74.100392)",HYLAN BOULEVARD,HUNTER AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3199225,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
4/7/15 18:35,,,,,,MEEKER AVENUE,LEONARD STREET,,2,0,0,0,0,0,2,0,Outside Car Distraction,Unspecified,Unspecified,,,3199058,OTHER,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
4/7/15 0:10,QUEENS,11106,40.7596718,-73.9272468,"(40.7596718, -73.9272468)",31 STREET,34 AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3199189,PASSENGER VEHICLE,TAXI,,,
4/7/15 6:44,MANHATTAN,10019,40.7707422,-73.9945485,"(40.7707422, -73.9945485)",WEST SIDE HIGHWAY,WEST 56 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3198762,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
4/7/15 23:36,,,40.6662948,-73.7989819,"(40.6662948, -73.7989819)",,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3199675,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
4/7/15 18:00,BRONX,10457,40.839769,-73.9053847,"(40.839769, -73.9053847)",WEBSTER AVENUE,CLAREMONT PARKWAY,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3198832,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
4/7/15 0:05,,,,,,31 PLACE,THOMSON AVENUE,,2,0,0,0,0,0,2,0,Fatigued/Drowsy,Unspecified,,,,3199632,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
4/7/15 13:21,BROOKLYN,11224,40.574985,-73.9996148,"(40.574985, -73.9996148)",MERMAID AVENUE,WEST 33 STREET,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Backing Unsafely,,,,3198906,SPORT UTILITY / STATION WAGON,OTHER,,,
4/7/15 15:45,BROOKLYN,11216,40.6891332,-73.9513172,"(40.6891332, -73.9513172)",CLIFTON PLACE,NOSTRAND AVENUE,,2,0,0,0,0,0,2,0,Backing Unsafely,Unspecified,,,,3199017,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
4/7/15 14:00,BROOKLYN,11221,40.69296,-73.9310519,"(40.69296, -73.9310519)",KOSCIUSKO STREET,REID AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3199544,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
4/7/15 8:40,BROOKLYN,11222,40.7303601,-73.9525066,"(40.7303601, -73.9525066)",GREENPOINT AVENUE,ECKFORD STREET,,2,0,0,0,0,0,2,0,Physical Disability,Unspecified,Unspecified,,,3199056,SPORT UTILITY / STATION WAGON,TAXI,TAXI,,
4/7/15 13:00,STATEN ISLAND,10309,40.525685,-74.2011291,"(40.525685, -74.2011291)",,,27-3 SEGUINE AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,,,3199229,SPORT UTILITY / STATION WAGON,,,,
4/7/15 16:56,MANHATTAN,10003,40.735214,-73.9917152,"(40.735214, -73.9917152)",EAST 14 STREET,UNION SQUARE WEST,,1,0,1,0,0,0,0,0,Unspecified,,,,,3199274,BUS,,,,
